author,comment,likes,date,clean_comment,sentiment
@vibhugangwar4397,Arree waahhhhh!!!!,0,2023-05-20T09:31:49Z,arree waahhhhh,Neutral
@demonking5573,I like xuv more,0,2023-05-19T16:13:24Z,like xuv,Positive
@ryuk276,"xuv 400 to hatchbacks in the market: i have 8.71 0-100 acceleration i am the fastest<br>le baleno, i20 having top speed of (180,190kmp/r): what&#39;s the top speed on you?<br>xuv400 left the chat&quot;",1,2023-05-18T10:21:39Z,xuv 400 hatchbacks market 871 0100 acceleration fastestle baleno i20 top speed 180190kmpr what39s top speed youxuv400 left chatquot,Positive
@rohitraj-yq8ig,Tere ko hindi nahi aati hai,0,2023-05-07T16:20:57Z,tere ko hindi nahi aati hai,Neutral
@techtalks5296,insurance costs you more than 50K  for EV,0,2023-05-06T03:27:02Z,insurance costs 50k ev,Neutral
@jagdaamit,Moj aya bro comparison dekhke,0,2023-05-05T18:59:21Z,moj aya bro comparison dekhke,Neutral
@senthiycharm7641,Faisal speak on 1.5x speed😂😂😂😂,0,2023-05-02T14:07:32Z,faisal speak 15x speed,Neutral
@Indianthingz,"Actual review @ <a href=""https://www.youtube.com/watch?v=qpf6D_GNbu0&amp;t=987"">16:27</a>",0,2023-05-01T11:08:01Z,actual review href,Neutral
@sukantpanigrahi76,&quot;Middle Passenger gets a head&quot; 😳😳😳 sus,0,2023-04-28T19:26:15Z,quotmiddle passenger gets headquot sus,Neutral
@akashrawat7127,Supriya : suru me btana tha,0,2023-04-28T12:03:16Z,supriya suru btana tha,Neutral
@jhownwicksus-tt1jy,I have  xuv  400,0,2023-04-28T12:02:31Z,xuv 400,Neutral
@mrdaksh8,भाई तू  इण्डिया में है इंग्लैंड में नही है हिंदी में ही बोल लिया करो ।,0,2023-04-27T14:19:40Z,,Neutral
@crazyelectrode,Mahindra uses a Power train from valeo while tata is self-developed.,0,2023-04-27T09:47:52Z,mahindra uses power train valeo tata selfdeveloped,Neutral
@stemilsteve7857,Bro nexon is bad. And xuv 400 is the best mahindra cars is always good,0,2023-04-26T06:42:07Z,bro nexon bad xuv 400 best mahindra cars always good,Positive
@Sky00566,Xuv all the time,0,2023-04-23T13:07:04Z,xuv time,Neutral
@shanmukhamt8930,"You are so confident on your review &amp; suggestions, I agreed to you for next two years🤞",0,2023-04-22T14:28:59Z,confident review amp suggestions agreed next two years,Positive
@edwinharvey2226,"XUV400 is a crap.even mahindra guys dont recommend it. Mahindra has lost the EV race.. reva, e2o, e-verito.. everything flopped miserably",0,2023-04-18T08:12:54Z,xuv400 crapeven mahindra guys dont recommend mahindra lost ev race reva e2o everito everything flopped miserably,Negative
@pavvu78,what is the source of info that Nexon EV actually uses LFP chemistry for their battery ?? Kindly reply as it will impact my buying decision. Thanks,0,2023-04-15T14:45:43Z,source info nexon ev actually uses lfp chemistry battery kindly reply impact buying decision thanks,Positive
@sikunithin,M using from last 1 yr and covered 42K km. Mumbai to Kerala 2 times. Best value car,0,2023-04-15T12:19:58Z,using last 1 yr covered 42k km mumbai kerala 2 times best value car,Positive
@RadikalyGrafikal,"Never buy a Mahindra EV, their after sales is pathetic to the core. They have sold E2O 10 years ago and E2O plus 6 years ago, both the vehicle owners are suffering bcuz of No service centres in a city like Bangalore, no response from the Management, high spare prices, spare availability is atleast 6 months to 1 year waiting. This issue has been there just after 2 years of their vehicle launch back in 2013, before the end of life of the product the company itself has forgotten their customers.",0,2023-04-14T17:03:21Z,never buy mahindra ev sales pathetic core sold e2o 10 years ago e2o plus 6 years ago vehicle owners suffering bcuz service centres city like bangalore response management high spare prices spare availability atleast 6 months 1 year waiting issue 2 years vehicle launch back 2013 end life product company forgotten customers,Negative
@hemamberk,"Not sure how many years it’s gonna take to reduce the prices of ev. When there is subsidy and 0 life tax , which is saving atleast 2L, but it. Once the Battery tech and all improves you won’t get them, may cost more or less the same. So if u need an ev buy now I think",0,2023-04-14T10:47:35Z,sure many years gonna take reduce prices ev subsidy 0 life tax saving atleast 2l battery tech improves wont get may cost less u need ev buy think,Positive
@ads7506,"EV max face lift should have Altroz racer infotainment screen, and probably ADAS.",1,2023-04-14T07:13:56Z,ev max face lift altroz racer infotainment screen probably adas,Neutral
@sanapung_xoxo,"Best honest truthful review, Tq Faisal 👍👍",0,2023-04-11T13:36:50Z,best honest truthful review tq faisal,Positive
@GopalRajana,Mean while I was looking at ur  tshirt and thinking a diesel is a diesel is a diesel😅 @faisal bhai,0,2023-04-11T07:54:35Z,mean looking ur tshirt thinking diesel diesel diesel faisal bhai,Neutral
@urmilasrisingkid,Memeiest automobile video😂😂🤣🤣,0,2023-04-09T15:43:33Z,memeiest automobile video,Neutral
@ganjamseshavamsikrishna2596,First of all I like tata nexon and second Mahindra 300<br>Any way both are best cars<br>❤,0,2023-04-07T15:54:51Z,first like tata nexon second mahindra 300any way best cars,Positive
@hurtlocker9600,Wait so this isn&#39;t Ev max this is normal ev??😮,0,2023-04-07T09:02:45Z,wait isn39t ev max normal ev,Neutral
@aakashsisodia1,"Its all about how you press the paddle,  if you paddle hard on accelerator surely car wil give lower range<br><br><br>Bt it is genuinely tested by myself nexon ev max is giving 370 km range...<br>Its all about wh/km",0,2023-04-05T18:58:02Z,press paddle paddle hard accelerator surely car wil give lower rangebt genuinely tested nexon ev max giving 370 km rangeits whkm,Positive
@a_raouf96,Power Bank 😂😂,0,2023-04-05T14:12:36Z,power bank,Neutral
@prateekrathore16,I have Nexon <br>It&#39;s best,0,2023-04-05T11:36:11Z,nexon it39s best,Positive
@n-filtered3432,"By far This is the Best comparison of these two EVs on YouTube (Powered by Faisal khan). 🤪🔥<br>Loved your unique and amazing style of presentation especially that Ajay Devgan pose! 😍😍<br>Full of transparency, no paid promotion, no cheating <br>You nailed it Faisal Khan!! 😊❤😊<br>I think no auto journalist would have openly talked about the cars of Tata &amp; Mahindra like u Faisal...Uve clearly hit it out of the park with ur attitude and honest review Faisal...Great job keep the good work as always 🤗",1,2023-04-03T20:29:40Z,far best comparison two evs youtube powered faisal khan loved unique amazing style presentation especially ajay devgan pose full transparency paid promotion cheating nailed faisal khan think auto journalist would openly talked cars tata amp mahindra like u faisaluve clearly hit park ur attitude honest review faisalgreat job keep good work always,Positive
